CLASS_NAME,DEPT,COURSE_NUM,COURSE_TOPIC
Arabic Conversation and Composition,ARAB,3230,
Review of Arabic Grammar,ARAB,3672,
Advanced Arabic IV,ARAB,4020,
Introduction to Arabic Drama,ARAB,4120,
Advanced Arabic IV,ARAB,5420,
Review of Arabic Grammar,ARAB,6672,
Introduction to Arabic Drama,ARAB,7120,
Topics in Arts Administration,ARAD,1550,Art Business of Contemporary Art
Topics of Arts in Context,ARAD,3550,Ecology of the Arts
Development and Board Management,ARAD,4200,
New Course in History of Art,ARAH,5559,Intro to Archaeological Prospection 2
Special Reading Problems,ARAH,8695,
Special Reading Problems,ARAH,8695,
Special Reading Problems,ARAH,8695,
Special Reading Problems,ARAH,8695,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Rsch, Masters Prep",ARAH,8998,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
"Non-Topical Research, Masters",ARAH,8999,
Seminar in Medieval Art,ARAH,9515,Mediterranean Capitals
Seminar in 18th/19th Art,ARAH,9535,The Global 18th Century
"Seminar in the Art of East, South, and Southeast Asia",ARAH,9585,South Asian Painting
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
Supervised Research,ARAH,9995,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Rsch,Doctoral Prep",ARAH,9998,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
"Non-Topical Research, Doctoral",ARAH,9999,
Foundation Studio I,ARCH,1030,
Foundation Studio I,ARCH,1030,
Foundation Studio I,ARCH,1030,
Foundation Studio I,ARCH,1030,
Foundation Studio I,ARCH,1030,
Foundation Studio I,ARCH,1030,
Foundation Studio I,ARCH,1030,
Foundation Studio III,ARCH,2020,
Foundation Studio III,ARCH,2020,
Foundation Studio III,ARCH,2020,
Foundation Studio III,ARCH,2020,
Foundation Studio III,ARCH,2020,
Foundation Studio III,ARCH,2020,
Intro to Designing & Thinking,ARCH,2070,
Principles of Tectonics,ARCH,2220,
Foundation Studio IV,ARCH,3020,
Foundation Studio IV,ARCH,3020,
Foundation Studio IV,ARCH,3020,
Foundation Studio IV,ARCH,3020,
Foundation Studio IV,ARCH,3020,
Design Thinking Studio II,ARCH,3021,
Building Matters,ARCH,3260,
Building Matters,ARCH,3260,
Building Matters,ARCH,3260,
Building Matters,ARCH,3260,
Building Matters,ARCH,3260,
Parametric Structural Design,ARCH,3274,
Independent Design Research Studio,ARCH,4020,
Independent Design Research Studio,ARCH,4020,
Independent Design Research Studio,ARCH,4020,
Independent Design Research Studio,ARCH,4020,
Independent Design Research Studio,ARCH,4020,
Independent Design Research Studio,ARCH,4020,
Ind Design Thinking Research Studio,ARCH,4021,
Ind Design Thinking Research Studio,ARCH,4021,
Ind Design Thinking Research Studio,ARCH,4021,
Ind Design Thinking Research Studio,ARCH,4021,
Ind Design Thinking Research Studio,ARCH,4021,
Design Research Seminar,ARCH,4100,
Teaching Experience,ARCH,4820,
Teaching Experience,ARCH,4820,
Teaching Experience,ARCH,4820,
Teaching Experience,ARCH,4820,
Independent Study,ARCH,4993,
Independent Study,ARCH,4993,
Independent Study,ARCH,4993,
Independent Study,ARCH,4993,
Independent Study,ARCH,4993,
Modern House,ARCH,5111,
Paper Matters II,ARCH,5132,
Direct Cinema Media Fabrics,ARCH,5424,
Design Workflows II,ARCH,5474,
